import time: self [us] | cumulative | imported package
import time:      2716 |       2716 |                     fractions
import time:      2722 |       2722 |                       _uuid
import time:      3105 |       5827 |                     uuid
import time:       539 |        539 |                     pydantic.annotated_handlers
import time:      6329 |       6329 |                     pydantic.functional_validators
import time:       550 |        550 |                       pydantic._internal._schema_generation_shared
import time:      3761 |       4310 |                     pydantic.json_schema
import time:       649 |        649 |                     pydantic._internal._discriminated_union
import time:       714 |        714 |                     pydantic._internal._known_annotated_metadata
import time:      3314 |      30291 |                   pydantic._internal._generate_schema
import time:       625 |        625 |                   pydantic._internal._signature
import time:      1102 |      32017 |                 pydantic._internal._model_construction
import time:      1892 |       1892 |                   http
import time:       754 |       2646 |                 starlette.exceptions
import time:     13278 |      13278 |                   annotated_types
import time:       806 |        806 |                   pydantic._internal._validators
import time:     12530 |      12530 |                   pydantic.types
import time:      4051 |      30664 |                 pydantic.fields
import time:      2572 |       2572 |                       _csv
import time:       884 |       3455 |                     csv
import time:      2964 |       2964 |                         zlib
import time:      3854 |       3854 |                           _compression
import time:      5701 |       5701 |                           _bz2
import time:      1351 |      10905 |                         bz2
import time:      5464 |       5464 |                           _lzma
import time:       905 |       6369 |                         lzma
import time:      3158 |      23395 |                       shutil
import time:       627 |        627 |                         zipfile._path.glob
import time:      2315 |       2941 |                       zipfile._path
import time:      2484 |      28819 |                     zipfile
import time:       431 |        431 |                         importlib.metadata._functools
import time:       514 |        945 |                       importlib.metadata._text
import time:       787 |       1732 |                     importlib.metadata._adapters
import time:       864 |        864 |                     importlib.metadata._meta
import time:      1041 |       1041 |                     importlib.metadata._collections
import time:       888 |        888 |                     importlib.metadata._itertools
import time:      1186 |       1186 |                           tempfile
import time:       947 |        947 |                           importlib.resources.abc
import time:       929 |        929 |                           importlib.resources._adapters
import time:      4739 |       7800 |                         importlib.resources._common
import time:      1115 |       1115 |                         importlib.resources._legacy
import time:       574 |       9488 |                       importlib.resources
import time:      1056 |      10543 |                     importlib.abc
import time:      2257 |      49597 |                   importlib.metadata
import time:       596 |      50193 |                 pydantic.plugin._loader
import time:     67751 |     273790 |               fastapi.exceptions
import time:      1676 |       1676 |               fastapi.types
import time:      1067 |       1067 |                 shlex
import time:       548 |        548 |                         anyio._core
import time:      1027 |       1575 |                       anyio._core._contextmanagers
import time:       991 |        991 |                         anyio._core._exceptions
import time:       204 |        204 |                         sniffio
import time:       684 |       1878 |                       anyio._core._eventloop
import time:      1513 |       1513 |                             anyio.abc._eventloop
import time:      1539 |       1539 |                             anyio.abc._resources
import time:       552 |        552 |                               anyio._core._typedattr
import time:       936 |        936 |                                 anyio.abc._tasks
import time:      3551 |       4486 |                               anyio.abc._streams
import time:      2368 |       7405 |                             anyio.abc._sockets
import time:       991 |        991 |                             anyio.abc._subprocesses
import time:       904 |        904 |                             anyio.abc._testing
import time:      2089 |       2089 |                               anyio.lowlevel
import time:      1013 |       1013 |                               anyio._core._tasks
import time:       528 |        528 |                               anyio._core._testing
import time:      7237 |      10866 |                             anyio._core._synchronization
import time:      1513 |       1513 |                             anyio.from_thread
import time:      5258 |      29987 |                           anyio.abc
import time:       489 |      30476 |                         anyio.to_thread
import time:      1814 |      32289 |                       anyio._core._fileio
import time:       404 |        404 |                       anyio._core._resources
import time:       416 |        416 |                       anyio._core._signals
import time:      1117 |       1117 |                           anyio.streams
import time:      3663 |       4779 |                         anyio.streams.stapled
import time:      1953 |       1953 |                         anyio.streams.tls
import time:      1891 |       8622 |                       anyio._core._sockets
import time:      4257 |       4257 |                         anyio.streams.memory
import time:       617 |       4874 |                       anyio._core._streams
import time:      1206 |       1206 |                       anyio._core._subprocesses
import time:       927 |        927 |                       anyio._core._tempfile
import time:      1905 |      54092 |                     anyio
import time:        38 |      54129 |                   anyio.to_thread
import time:       508 |      54636 |                 starlette.concurrency
import time:       907 |        907 |                 starlette.types
import time:      2086 |      58694 |               starlette.datastructures
import time:      3772 |     337931 |             fastapi._compat
import time:       881 |        881 |             fastapi.logger
import time:       214 |        214 |             email_validator
import time:       424 |        424 |               pydantic._internal._serializers
import time:      2940 |       3363 |             pydantic._internal._std_types_schema
import time:    279857 |     622648 |           fastapi.openapi.models
import time:      2414 |     625061 |         fastapi.params
import time:      1315 |       1315 |         fastapi.datastructures
import time:       582 |        582 |           fastapi.dependencies
import time:       391 |        391 |                 fastapi.security.base
import time:      2458 |       2458 |                   http.cookies
import time:       934 |        934 |                   starlette._utils
import time:       199 |        199 |                     python_multipart
import time:       158 |        158 |                     multipart
import time:      5504 |       5860 |                   starlette.formparsers
import time:       231 |        231 |                     python_multipart
import time:        61 |        292 |                   python_multipart.multipart
import time:       144 |        144 |                     multipart
import time:        38 |        181 |                   multipart.multipart
import time:      1702 |      11425 |                 starlette.requests
import time:      1307 |      13122 |               fastapi.security.api_key
import time:       452 |        452 |                 fastapi.security.utils
import time:      2862 |       3314 |               fastapi.security.http
import time:      2317 |       2317 |                 fastapi.param_functions
import time:      2872 |       5188 |               fastapi.security.oauth2
import time:       719 |        719 |               fastapi.security.open_id_connect_url
import time:      4782 |      27123 |             fastapi.security
import time:        59 |      27182 |           fastapi.security.base
import time:      5388 |      33150 |         fastapi.dependencies.models
import time:       704 |        704 |             starlette.background
import time:       829 |       1533 |           fastapi.background
import time:       690 |        690 |           fastapi.concurrency
import time:       870 |        870 |           fastapi.utils
import time:      7143 |       7143 |               _hashlib
import time:      3583 |       3583 |               _blake2
import time:      3777 |      14502 |             hashlib
import time:       200 |        200 |               _winapi
import time:       128 |        128 |               winreg
import time:      1438 |       1765 |             mimetypes
import time:       940 |        940 |               hmac
import time:       744 |       1684 |             secrets
import time:      1392 |      19341 |           starlette.responses
import time:       870 |        870 |           starlette.websockets
import time:      3696 |      26996 |         fastapi.dependencies.utils
import time:      1156 |       1156 |             colorsys
import time:      1870 |       3026 |           pydantic.color
import time:      1471 |       4496 |         fastapi.encoders
import time:       475 |        475 |           starlette._exception_handler
import time:       777 |        777 |           starlette.convertors
import time:       672 |        672 |           starlette.middleware
import time:      1689 |       3612 |         starlette.routing
import time:      8614 |     949316 |       fastapi.routing
import time:       353 |        353 |         fastapi.websockets
import time:       556 |        909 |       fastapi.exception_handlers
import time:       718 |        718 |       fastapi.openapi.docs
import time:      1331 |       1331 |             email.feedparser
import time:      1002 |       2332 |           email.parser
import time:      1771 |       4103 |         http.client
import time:       871 |        871 |         fastapi.openapi.constants
import time:       179 |        179 |           ujson
import time:       125 |        125 |           orjson
import time:       572 |        875 |         fastapi.responses
import time:      1377 |       7226 |       fastapi.openapi.utils
import time:       886 |        886 |         starlette.middleware.base
import time:      2270 |       2270 |             html.entities
import time:      1472 |       3742 |           html
import time:       540 |       4281 |         starlette.middleware.errors
import time:       598 |        598 |         starlette.middleware.exceptions
import time:       701 |       6464 |       starlette.applications
import time:      3360 |     993338 |     fastapi.applications
import time:       492 |        492 |     fastapi.requests
import time:       837 |     998017 |   fastapi
import time:       612 |        612 |     fastapi.middleware
import time:       614 |        614 |     starlette.middleware.cors
import time:       647 |       1872 |   fastapi.middleware.cors
import time:       160 |        160 |     app.core
import time:      2105 |       2105 |           gettext
import time:      3760 |       5865 |         argparse
import time:       913 |        913 |           pydantic._internal._dataclasses
import time:       885 |       1798 |         pydantic.dataclasses
import time:      2340 |       2340 |               dotenv.parser
import time:       811 |        811 |               dotenv.variables
import time:      1296 |       4446 |             dotenv.main
import time:       718 |       5164 |           dotenv
import time:       739 |        739 |           pydantic_settings.utils
import time:      7580 |      13482 |         pydantic_settings.sources
import time:      4123 |      25266 |       pydantic_settings.main
import time:       509 |        509 |       pydantic_settings.version
import time:       588 |      26362 |     pydantic_settings
import time:      3884 |      30404 |   app.core.config
import time:       155 |        155 |         app.services
import time:       472 |        472 |           httpx.__version__
import time:      1627 |       1627 |                     urllib.response
import time:       851 |       2477 |                   urllib.error
import time:     96549 |      96549 |                   _scproxy
import time:      5420 |     104445 |                 urllib.request
import time:      1350 |       1350 |                 httpx._exceptions
import time:      5806 |       5806 |                   http.cookiejar
import time:      4032 |       4032 |                       httpx._types
import time:       758 |        758 |                       httpx._utils
import time:      1247 |       6036 |                     httpx._multipart
import time:      1164 |       7199 |                   httpx._content
import time:       314 |        314 |                     brotli
import time:       140 |        140 |                     brotlicffi
import time:       120 |        120 |                     zstandard
import time:      4504 |       5077 |                   httpx._decoders
import time:      2174 |       2174 |                   httpx._status_codes
import time:      8680 |       8680 |                         unicodedata
import time:      2792 |       2792 |                         idna.idnadata
import time:       727 |        727 |                         idna.intranges
import time:      3107 |      15303 |                       idna.core
import time:       488 |        488 |                       idna.package_data
import time:       693 |      16484 |                     idna
import time:      3160 |       3160 |                     httpx._urlparse
import time:       956 |      20599 |                   httpx._urls
import time:      1733 |      42584 |                 httpx._models
import time:      3186 |     151565 |               httpx._auth
import time:      2836 |       2836 |               httpx._config
import time:       898 |        898 |                     httpx._transports.base
import time:       991 |       1889 |                   httpx._transports.asgi
import time:      1100 |       1100 |                   httpx._transports.default
import time:       627 |        627 |                   httpx._transports.mock
import time:       671 |        671 |                   httpx._transports.wsgi
import time:       722 |       5007 |                 httpx._transports
import time:        69 |       5075 |               httpx._transports.base
import time:      2483 |     161957 |             httpx._client
import time:       457 |     162414 |           httpx._api
import time:      1033 |       1033 |                   click._compat
import time:       524 |        524 |                     click.globals
import time:      1185 |       1185 |                     click.utils
import time:      1236 |       2944 |                   click.exceptions
import time:      2434 |       6409 |                 click.types
import time:      1448 |       1448 |                 click._utils
import time:       790 |        790 |                   click.parser
import time:      1125 |       1915 |                 click.formatting
import time:       758 |        758 |                 click.termui
import time:      3440 |      13968 |               click.core
import time:      1136 |       1136 |               click.decorators
import time:      1869 |      16972 |             click
import time:       183 |        183 |               pygments
import time:        46 |        229 |             pygments.lexers
import time:      1338 |      18537 |           httpx._main
import time:       822 |     182244 |         httpx
import time:       897 |     183295 |       app.services.cartola
import time:      1169 |       1169 |       app.services.data_processing
import time:      2401 |       2401 |           pulp.constants
import time:       351 |        351 |                     _wmi
import time:      1823 |       2174 |                   platform
import time:      5022 |       5022 |                     _ctypes
import time:      1256 |       1256 |                     ctypes._endian
import time:      2886 |       9163 |                   ctypes
import time:      5911 |       5911 |                   configparser
import time:       553 |        553 |                   pulp.sparse
import time:       232 |        232 |                   ujson
import time:      2440 |      20471 |                 pulp.apis.core
import time:       160 |        160 |                 yaposib
import time:      1549 |      22180 |               pulp.apis.coin_api
import time:       139 |        139 |                 cplex
import time:       760 |        899 |               pulp.apis.cplex_api
import time:       238 |        238 |                 gurobipy
import time:       850 |       1087 |               pulp.apis.gurobi_api
import time:       278 |        278 |                   glpk
import time:      1511 |       1788 |                 glpk.glpkpi
import time:      1621 |       3409 |               pulp.apis.glpk_api
import time:      1532 |       1532 |               pulp.apis.choco_api
import time:       583 |        583 |               pulp.apis.mipcl_api
import time:       173 |        173 |                 mosek
import time:      1154 |       1326 |               pulp.apis.mosek_api
import time:       165 |        165 |                 pyscipopt
import time:      1110 |       1274 |               pulp.apis.scip_api
import time:       945 |        945 |               pulp.apis.xpress_api
import time:       228 |        228 |                 highspy
import time:      2437 |       2664 |               pulp.apis.highs_api
import time:      1021 |       1021 |                 glob
import time:       174 |        174 |                 coptpy
import time:      1623 |       2817 |               pulp.apis.copt_api
import time:      1726 |      40438 |             pulp.apis
import time:       505 |        505 |             pulp.utilities
import time:       585 |        585 |             pulp.mps_lp
import time:       195 |        195 |             odict
import time:       133 |        133 |             ujson
import time:      1921 |      43775 |           pulp.pulp
import time:       951 |        951 |                   unittest.util
import time:      1509 |       2460 |                 unittest.result
import time:      1770 |       1770 |                   difflib
import time:       879 |        879 |                   pprint
import time:      1827 |       4475 |                 unittest.case
import time:       765 |        765 |                 unittest.suite
import time:      1585 |       1585 |                 unittest.loader
import time:       637 |        637 |                     unittest.signals
